Epsilon,Reward,RPR(%),ASR(%),Latency(ms)
0.000,10343.0 ± 653.9,0.0000%,0.0%,0.000
0.010,9081.8 ± 941.0,0.0633%,10.0%,26.546
0.012,9031.0 ± 908.9,0.0757%,10.0%,26.980
0.015,8865.0 ± 899.5,0.0942%,6.7%,26.468
0.018,6893.1 ± 1362.7,0.1125%,33.3%,26.403
0.020,6655.5 ± 1044.7,0.1249%,30.0%,26.429
0.023,5411.0 ± 1153.8,0.1425%,53.3%,26.405
0.025,4977.4 ± 1245.9,0.1543%,56.7%,26.392
0.027,4099.3 ± 1058.8,0.1666%,66.7%,26.484
0.030,2991.2 ± 588.1,0.1840%,86.7%,26.538
0.035,2117.5 ± 502.7,0.2136%,96.7%,26.579
0.050,1016.9 ± 330.5,0.3058%,100.0%,26.402
