dasdsa,Steps,MSE,Cosine Sim,Rewards
Humanoid_SAC,50000,0.02920861,0.8779,2391.23 ± 1236.44
Humanoid_SAC,200000,0.01181196,0.9602,6701.64 ± 2314.19
Humanoid_SAC,500000,0.001115296,0.9948,8166.41 ± 99.53

Humanoid_TQC,50000,0.06053784,0.7115,534.08 ± 123.26
Humanoid_TQC,200000,0.029127,0.8668,1368.22 ± 855.64
Humanoid_TQC,500000,0.01345457,0.9427,5174.22 ± 3025.26

hc_TQC,10000,0.77740198,0.0396,-244.03 ± 269.68
hc_TQC,50000,0.78201199,0.1543,-54.58 ± 282.46
hc_TQC,200000,0.76985502,0.1464,148.97 ± 199.93
hc_TQC,500000,0.59005213,0.5739,3281.19 ± 1653.94
hc_TQC,1000000,0.67915982,0.4631,2976.60 ± 1933.92

hc_SAC,5000,0.61704481,0.1962,-283.57 ± 223.83
hc_SAC,50000,0.64300126,0.1002,-270.54 ± 133.61
hc_SAC,200000,0.56060207,0.1799,-60.02 ± 208.22
hc_SAC,500000,0.03574289,0.9742,10881.71 ± 2519.28
hc_SAC,1000000,0.00315921,0.9971,11422.81 ± 181.69
