Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms)
TQC,0.000,17640.10,0.00,0.00,0.0000,0.0000
TQC,0.010,10654.97,39.60,16.00,0.2599,0.6841
TQC,0.020,5522.45,68.69,100.00,0.4755,0.6765
TQC,0.030,2627.56,85.10,100.00,1.3094,0.6764
TQC,0.040,1847.60,89.53,100.00,2.0407,0.6656
TQC,0.050,1472.87,91.65,100.00,2.4684,0.6669

SAC,0.000,11479.98,0.00,0.00,0.0000,0.0000
SAC,0.010,10126.71,11.79,0.00,0.1995,0.6656
SAC,0.020,8366.58,27.12,6.00,0.7252,0.6734
SAC,0.030,1875.38,83.66,100.00,4.8802,0.6752
SAC,0.040,221.65,98.07,100.00,6.7805,0.6684
SAC,0.050,-66.29,100.58,100.00,3.7145,0.6686
