Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms),Atk_Rate(%)
TQC,0.000,17621.74,0.00,0.00,0.0000,0.0000,0.00
TQC,0.010,15695.82,10.93,2.00,0.0241,1.8019,18.95
TQC,0.020,8000.22,54.60,48.00,0.3332,1.7838,33.04
TQC,0.025,7213.42,59.07,92.00,0.2383,1.7766,31.33
TQC,0.030,6304.49,64.22,100.00,0.4175,1.7747,35.16
TQC,0.035,5803.46,67.07,100.00,0.4719,1.7752,38.20
TQC,0.040,5003.29,71.61,100.00,0.6106,1.7759,39.86
TQC,0.050,4125.14,76.59,100.00,1.2142,1.7582,47.93

SAC,0.000,11502.55,0.00,0.00,0.0000,0.0000,0.00
SAC,0.010,11141.67,3.14,0.00,0.0497,1.7399,27.17
SAC,0.020,10378.56,9.77,2.00,0.1494,1.7510,30.33
SAC,0.025,9691.25,15.75,4.00,0.2283,1.7497,34.01
SAC,0.030,8171.97,28.96,6.00,0.2686,1.7588,33.81
SAC,0.035,5781.91,49.73,32.00,0.4449,1.7463,34.57
SAC,0.040,3580.09,68.88,84.00,0.6625,1.7653,29.31
SAC,0.050,2213.72,80.75,100.00,0.4701,1.7440,18.43
