Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms)
SAC,0.000,8115.35,0.00,0.00,0.0000,0.0000
SAC,0.010,7695.78,5.45,12.00,0.0591,0.6943
SAC,0.020,3981.45,51.09,76.00,0.1085,0.6998
SAC,0.030,1138.49,86.01,100.00,0.1646,0.7176
SAC,0.040,665.44,91.82,100.00,0.2259,0.7053
SAC,0.050,511.91,93.71,100.00,0.2913,0.7086

TQC,0.000,10460.81,0.00,0.00,0.0000,0.0000
TQC,0.010,9908.17,5.28,8.00,0.0678,0.7053
TQC,0.020,5399.61,48.38,74.00,0.1336,0.6993
TQC,0.030,2540.20,75.72,100.00,0.2001,0.6975
TQC,0.040,1688.42,83.86,100.00,0.2666,0.6996
TQC,0.050,1444.22,86.19,100.00,0.3374,0.6979
