Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms),Atk_Rate(%)
SAC,0.010,7842.97,3.54,8.00,0.0235,2.4037,34.04
SAC,0.020,6648.70,18.23,30.00,0.0335,2.4325,26.93
SAC,0.025,5431.45,33.12,50.00,0.0351,2.3698,23.78
SAC,0.030,4890.92,39.84,56.00,0.0393,2.5098,23.52
SAC,0.035,2727.26,66.42,92.00,0.0367,2.3848,19.63
SAC,0.040,1769.32,78.24,100.00,0.0348,2.4388,17.25
SAC,0.050,1144.48,85.92,100.00,0.0356,2.4664,14.15

TQC,0.010,10227.78,3.94,6.00,0.0164,2.5558,24.58
TQC,0.020,9606.64,9.77,14.00,0.0365,2.5197,26.68
TQC,0.025,7605.94,25.68,42.00,0.0464,2.3628,27.07
TQC,0.030,6470.69,39.23,54.00,0.0586,2.6513,28.67
TQC,0.035,4399.29,57.01,80.00,0.0664,2.3673,27.84
TQC,0.040,3136.19,70.54,96.00,0.0758,2.6643,27.71
TQC,0.050,2301.77,78.38,100.00,0.0842,2.6876,24.95
