Model,Epsilon,Reward,Drop_Rate(%),ASR(%),Avg_RPR(%),Latency(ms),Atk_Rate(%)
SAC,0.01,8008.62,1.02,6,0.0225,1.2142,35.54
SAC,0.02,7248.69,10.41,14,0.0317,1.2135,27.66
SAC,0.025,6549.15,19.17,28,0.0355,1.2318,25.32
SAC,0.03,5490.28,32.14,46,0.0376,1.2146,23.06
SAC,0.035,4473.19,44.79,68,0.0404,1.2317,22.41
SAC,0.04,3582.42,55.72,84,0.0399,1.212,19.75
SAC,0.05,1938.66,76.04,98,0.0376,1.2157,15.51

TQC,0.01,10700.41,0,0,0.024,1.2137,31.89
TQC,0.02,9238.16,13.43,18,0.0476,1.2644,32.01
TQC,0.025,8384.05,21.44,32,0.0544,1.2451,29.49
TQC,0.03,8277.41,22.43,32,0.0669,1.2193,30.11
TQC,0.035,6502.79,39.06,56,0.0781,1.2212,30.5
TQC,0.04,5213,51.15,68,0.0814,1.2224,27.92
TQC,0.05,3412.91,68.02,94,0.0998,1.2252,27.26
